"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"once burned early","early","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.84880418661786
"once burned early","early","early",1,1,"Understory","mnl",2009,"cc_01_mnl",-1.47309900503597
"once burned early","early","early",1,1,"Understory","sdl",2009,"cc_01_sdl",0.509925071957515
"once burned early","early","early",1,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.14965957645159
"once burned early","early","early",1,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.446554780471973
"once burned early","early","early",1,1,"Canopy","mnl",2009,"cc_08_mnl",-3.21518368116155
"once burned early","early","early",1,1,"Canopy","sdl",2009,"cc_08_sdl",1.43774999370673
"once burned early","early","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.93904343450945
"once burned early","early","late",0,1,"Understory","sdl",2009,"cc_01_sdl",0.814207661207661
"once burned early","early","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.32176186748221
"once burned early","early","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.733577067605052
"once burned early","early","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.65781633460109
"once burned early","early","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.02282363614091
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-1.35212298285479
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.45887430707535
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.77786338287629
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.86860365276182
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-4.17389901881673
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.52104218441816
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-2.4974097931382
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.728685011345537
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.50248884936821
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",0.920436220026746
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.58063993998387
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.04140686129698
"once burned forest","late","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-3.77472114992956
"once burned forest","late","early",0,1,"Understory","sdl",2009,"cc_01_sdl",2.18926021316954
"once burned forest","late","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-1.79832717676518
