"stage","stage09","stage15","ch_high","nburn","strata","stat","cc_year","metric","value"
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.60857152067159
"recovering","early","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-2.48409468730203
"recovering","early","early",0,2,"Understory","sdl",2015,"cc_01_sdl",0.869975217612625
"recovering","early","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-4.23795516096765
"recovering","early","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.75918293861964
"recovering","early","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-5.26080989580154
"recovering","early","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",2.27709948468173
"once burned early","early","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-2.18524806129887
"once burned early","early","early",0,1,"Understory","sdl",2009,"cc_01_sdl",0.710192627475207
"once burned early","early","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.84634659844304
"once burned early","early","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.24935412329698
"once burned early","early","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-3.60952974169846
"once burned early","early","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",2.22174016056941
"once burned forest","late","late",0,1,"Understory","mnl",2009,"cc_01_mnl",-4.90041317114162
"once burned forest","late","late",0,1,"Understory","sdl",2009,"cc_01_sdl",1.83652684446337
"once burned forest","late","late",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-2.81448164179395
"once burned forest","late","late",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.67709043754687
"once burned forest","late","late",0,1,"Canopy","mnl",2009,"cc_08_mnl",-0.883964791684087
"once burned forest","late","late",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.13095876714331
"twice burned forest","late","late",0,2,"Understory","mnl",2015,"cc_01_mnl",-5.2038262628587
"twice burned forest","late","late",0,2,"Understory","sdl",2015,"cc_01_sdl",1.42364681348089
"twice burned forest","late","late",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.60540867925851
"twice burned forest","late","late",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",1.6841461310215
"twice burned forest","late","late",0,2,"Canopy","mnl",2015,"cc_08_mnl",-1.29934002029336
"twice burned forest","late","late",0,2,"Canopy","sdl",2015,"cc_08_sdl",1.43133933811539
"once burned forest","late","early",0,1,"Understory","mnl",2009,"cc_01_mnl",-4.12589838183125
"once burned forest","late","early",0,1,"Understory","sdl",2009,"cc_01_sdl",2.12974119021017
"once burned forest","late","early",0,1,"Sub-canopy","mnl",2009,"cc_02_mnl",-3.27322360398287
"once burned forest","late","early",0,1,"Sub-canopy","sdl",2009,"cc_02_sdl",1.64351715831063
"once burned forest","late","early",0,1,"Canopy","mnl",2009,"cc_08_mnl",-1.29205689489927
"once burned forest","late","early",0,1,"Canopy","sdl",2009,"cc_08_sdl",1.36824933127389
"late-early","late","early",0,2,"Understory","mnl",2015,"cc_01_mnl",-3.50244052569788
"late-early","late","early",0,2,"Understory","sdl",2015,"cc_01_sdl",1.37857228078783
"late-early","late","early",0,2,"Sub-canopy","mnl",2015,"cc_02_mnl",-3.78575832187718
"late-early","late","early",0,2,"Sub-canopy","sdl",2015,"cc_02_sdl",0.976403651082519
"late-early","late","early",0,2,"Canopy","mnl",2015,"cc_08_mnl",-2.85438640594717
"late-early","late","early",0,2,"Canopy","sdl",2015,"cc_08_sdl",1.95371233408348
"unburned forest","suppressed","suppressed",NA,0,"Understory","mnl",2015,"cc_01_mnl",-5.413423294939
